"Time","Field"
2020-12-18 11:07:00,"Ault"
2020-12-18 11:08:00,"Ault"
2020-12-18 11:08:00,"Ault"
2020-12-18 11:09:00,"Ault"
2020-12-18 11:10:00,"Ault"
2020-12-18 11:12:00,"Ault"
2020-12-18 11:13:00,"Ault"
2020-12-18 11:14:00,"Ault"
2020-12-18 11:15:00,"Ault"
2020-12-18 11:16:00,"Ault"
2020-12-18 11:16:00,"Ault"
2020-12-18 11:17:00,"Ault"
2020-12-18 11:19:00,"Ault"
2020-12-18 11:20:00,"Ault"
2020-12-18 11:21:00,"Ault"
2020-12-18 11:22:00,"Ault"
2020-12-18 11:23:00,"Ault"
2020-12-18 11:24:00,"Ault"
2020-12-18 11:25:00,"Ault"
2020-12-18 11:26:00,"Ault"
2020-12-18 11:27:00,"Ault"
2020-12-18 11:27:00,"Ault"
2020-12-18 11:28:00,"Ault"
2020-12-18 11:29:00,"Ault"
2020-12-18 11:30:00,"Ault"
2020-12-18 11:31:00,"Ault"
2020-12-18 11:32:00,"Ault"
2020-12-18 11:32:00,"Ault"
2020-12-18 11:33:00,"Ault"
2020-12-18 11:34:00,"Ault"
2020-12-18 11:35:00,"Ault"
2020-12-18 11:36:00,"Ault"
2020-12-18 11:36:00,"Ault"
2020-12-18 11:37:00,"Ault"
2020-12-18 11:38:00,"Ault"
2020-12-18 11:39:00,"Ault"
2020-12-18 11:40:00,"Ault"
2020-12-18 11:40:00,"Ault"
2020-12-18 11:42:00,"Ault"
2020-12-18 11:43:00,"Ault"
2020-12-18 11:43:00,"Ault"
2020-12-18 11:45:00,"Ault"
2020-12-18 11:46:00,"Ault"
2020-12-18 11:47:00,"Ault"
